Address,Nii Balance
0x59fa29f3dc7e1cbbd2ba549a2a1bab3212bb6385,491526196.023623943328857
0x3a8b567b7ca29bd79e617103b333c43d45c4ef76,337967547.541032075881958
0xe8575e787e28bcb0ee3046605f795bf883e82e84,212333336.000000000000000
0xe2e09f07b65bcae3944e7d2830eb1cda6ce03b9d,207833818.207069307565689
0xbd8980fcc691808e81fdf63924f34332001b16e8,194860210.000000000000000
0x0224e526554bb3c19832cfeedf1c26a34890128a,194860210.000000000000000
0xb2e7dcc6d24047b29583eae70e02c6933c202c76,170400000.000000000000000
0x6993bc74575eb01c46699a3fd4647d40e5f97c21,147214406.173642247915268
0x77cf26dccbcd73beef4a3c3e2a0b336968554f84,141606883.806968063116074
0x769d2f42978b1d150f4c3172fe57159e345a1be8,137876906.501325041055679
0xeb17eb3a4e9459ca7fd0e835edbaf8f0ba1b30c8,133080281.833476647734642
0xc8caaf01b1f1ad419626c4a8a937aa99becafabf,131968710.700913935899734
0x5ef5be70a3c591f55a29a2d644cabb8e7f15850e,119884702.542658582329750
0xaeabe173e4f1bba4c3b4664ea206b0b77152d458,114666583.218689307570457
0x9c90562b8283623b2636630ae7cc6b61d68b49ff,111378834.097225159406662
0x501b16f42b6e3bbbe173843dbb9accf8b56a7ad9,108750000.005649417638779
0x4cdcd45ec0c385af660e6534b52871cb769021bf,108750000.005649417638779
0x6abea3970a4756dc6ec02d4dfc145453bdfd65a0,108750000.005649417638779
0x96e47c15801016ae5cb61a7852c51e41c34ca44c,108750000.005649402737617
0x17489f1d449db1e74bc13230eaad07337e52bc8a,90756234.241592258214951
0x4526416fd85bdf61628a4042eb37b52674ce48c1,88220116.953298509120941
0xc8f579c015abc407e9ae6d36398ebba02f495a63,80129983.252681806683540
0xfa1644156bdc330cc8df279a84c3b33c87a464ea,77483138.888267174363136
0xa35a6a96e9b400c4ded39514d0e65773ca0a3607,76800000.000000000000000
0xa7804bc65158b02817874dc8b457c71f040e3945,65288486.106521934270859
0x1266bc91e136333d977c5ac56ea9cda1deb32c01,64910016.738292895257473
0xbac89e5546c8a4f9e68e7d71f9dfd5d72c3d6024,63150902.796398133039474
0x95880f2e70203f759168665feb6948e81fe5df77,62853606.538266308605671
0x1ddd5a03259ed2094f97a917cdfb4dfc4afcf41e,62000596.175095386803150
0x752d447b4cbee1c2b55708afd7269af7c9ec74f9,61256964.106452487409115
0x3d1f07ab1c332148819215c8f0748fbb64903d11,60000000.000000000000000
0x40a09fd780272d7c36dff327837aac398d627693,60000000.000000000000000
0x50cad2a828a1253b679656fb5ad163465ca27e5e,54220732.723034322261810
0x8235178f39f7fe9bf67e30502384bd743c46d363,53858018.413739353418350
0xd2b0226b8d3f39540ca31406445862268781bed6,52200000.000000000000000
0xbfba343dcabbcbcdc620029398f0586e5909a2d5,52200000.000000000000000
0x0bbec32ed551c9cf2820f4bdf1d6d4ad12b8afe5,52200000.000000000000000
0x130de2dfb57bda4c1e15b6fec3c1a0897aa3b6d5,52200000.000000000000000
0xafbea4c526efd46d989e705f5dbfd2c8cd81df41,52200000.000000000000000
0x538527f25817ab925e7132939124ece196c30127,52200000.000000000000000
0x8e24bc98de4c08c54ef364305a105551971886cd,52200000.000000000000000
0x3384e2d432acd178d26c76f56fb17e17c18ee760,52200000.000000000000000
0x73105112fada6412a375ed7bcd37b8b523a783ac,50988926.019744314253330
0x2312a1ff772578bba9626c6a7fc0e5d281f918b0,50368288.033456243574619
0xc1b968e63be634e1d0c6351c68fed94f54b93a13,45620124.256833985447884
0x45be10ac67c83516a712c34c6e90b22c2f408b7e,43922079.176470696926117
0xadd31cc41500bd29d658a80ef51e77b21f6bf9c1,42164635.956355668604374
